id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
2342,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,1 00,0,0015,Annual,0,14335,14335,,0.0
2343,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,1 00,0,0011,Annual,0,33090,33090,,0.0
2344,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,E 04,73,9173,Annual,1,140286,140286,1.0,
2345,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,E 03,71,9171,Annual,1,124920,124920,1.0,
2346,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,E 03,71,9171,Annual,1,121020,121020,1.0,
2347,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,E 03,71,9171,Annual,1,117246,234492,2.0,
2348,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,D 01,91,9161,Annual,1,96060,96060,1.0,
2349,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,D 01,91,9161,Annual,1,93354,186708,2.0,
2350,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,D 01,91,9161,Annual,1,90024,180048,2.0,
2351,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,D 01,91,9161,Annual,1,87006,87006,1.0,
2352,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,D 01,91,9161,Annual,1,68616,205848,3.0,
2353,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 11,1,4239,Annual,1,83676,167352,2.0,
2354,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 11,1,4239,Annual,1,48216,96432,2.0,
2355,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 10,1,4238,Annual,1,76248,457488,6.0,
2356,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 10,1,4238,Annual,1,69468,69468,1.0,
2357,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 10,1,4238,Annual,1,66336,132672,2.0,
2358,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 10,1,4238,Annual,1,63348,63348,1.0,
2359,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 10,1,4238,Annual,1,49692,397536,8.0,
2360,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 10,1,4238,Annual,1,43932,219660,5.0,
2361,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,B 08,1,0430,Annual,1,63348,63348,1.0,
2362,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,1 00,0,0015,Annual,0,10777,10777,,0.0
2363,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4307,Evidence and Recovered Property Section,1 00,0,0011,Annual,0,9310,9310,,0.0
2364,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,E 04,73,9173,Annual,1,140286,140286,1.0,
2365,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,E 03,71,9171,Annual,1,124920,374760,3.0,
2366,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,D 2A,91,9165,Annual,1,103932,1247184,12.0,
2367,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,D 2A,91,9165,Annual,1,100980,504900,5.0,
2368,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,D 2A,91,9165,Annual,1,97440,292320,3.0,
2369,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,D 2A,91,9165,Annual,1,94122,94122,1.0,
2370,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,D 2A,91,9165,Annual,1,91080,364320,4.0,
2371,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,D 2A,91,9165,Annual,1,70980,70980,1.0,
2372,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,1 00,0,0015,Annual,0,1514,1514,,0.0
2373,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3294,0,,1 00,0,0011,Annual,0,7725,7725,,0.0
2374,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3330,0,,1 00,99,9796,Annual,1,170112,170112,1.0,
2375,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3330,0,,1 00,99,9785,Annual,1,185364,185364,1.0,
2376,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3330,0,,E 03,71,9171,Annual,1,113670,113670,1.0,
2377,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3330,0,,D 01,91,9161,Annual,1,87006,87006,1.0,
2378,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3330,0,,D 01,91,9161,Annual,1,84054,84054,1.0,
2379,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3330,0,,1 00,0,0011,Annual,0,1705,1705,,0.0
2380,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3331,0,,E 04,73,9173,Annual,1,140286,140286,1.0,
2381,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3331,0,,E 03,71,9171,Annual,1,121020,121020,1.0,
2382,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3331,0,,D 01,91,9161,Annual,1,93354,93354,1.0,
2383,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3331,0,,D 01,91,9161,Annual,1,72510,217530,3.0,
2384,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3331,0,,1 00,0,0015,Annual,0,8544,8544,,0.0
2385,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3331,0,,1 00,0,0011,Annual,0,3919,3919,,0.0
2386,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,3 00,99,9752,Annual,1,162684,162684,1.0,
2387,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,E 04,73,9173,Annual,1,132108,264216,2.0,
2388,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,E 03,71,9171,Annual,1,124920,374760,3.0,
2389,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,E 03,71,9171,Annual,1,121020,121020,1.0,
2390,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,E 03,71,9171,Annual,1,117246,234492,2.0,
2391,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 2A,91,9165,Annual,1,103932,103932,1.0,
2392,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 01,91,9161,Annual,1,96060,288180,3.0,
2393,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 01,91,9161,Annual,1,93354,653478,7.0,
2394,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 01,91,9161,Annual,1,90024,630168,7.0,
2395,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 01,91,9161,Annual,1,87006,87006,1.0,
2396,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 01,91,9161,Annual,1,76266,76266,1.0,
2397,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,D 01,91,9161,Annual,1,72510,2320320,32.0,
2398,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,1 00,0,0015,Annual,0,88671,88671,,0.0
2399,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3332,0,,1 00,0,0011,Annual,0,14916,14916,,0.0
2400,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,3 00,99,9752,Annual,1,162684,162684,1.0,
2401,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,E 04,73,9173,Annual,1,140286,420858,3.0,
2402,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,E 03,71,9171,Annual,1,124920,874440,7.0,
2403,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,E 03,71,9171,Annual,1,121020,363060,3.0,
2404,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,E 03,71,9171,Annual,1,117246,351738,3.0,
2405,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,E 03,71,9171,Annual,1,113670,682020,6.0,
2406,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 01,91,9161,Annual,1,96060,5667540,59.0,
2407,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 01,91,9161,Annual,1,93354,3174036,34.0,
2408,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 01,91,9161,Annual,1,90024,990264,11.0,
2409,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 01,91,9161,Annual,1,87006,348024,4.0,
2410,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 01,91,9161,Annual,1,84054,168108,2.0,
2411,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 01,91,9161,Annual,1,68616,343080,5.0,
2412,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 02,91,9153,Annual,1,100980,302940,3.0,
2413,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 02,91,9153,Annual,1,98052,392208,4.0,
2414,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 02,91,9153,Annual,1,94524,94524,1.0,
2415,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 02,91,9153,Annual,1,91338,182676,2.0,
2416,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,D 02,91,9153,Annual,1,68616,274464,4.0,
2417,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,B 10,1,0302,Annual,1,76248,76248,1.0,
2418,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,1 00,0,0015,Annual,0,9874,9874,,0.0
2419,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3334,0,,1 00,0,0011,Annual,0,40382,40382,,0.0
2420,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,3 00,99,9752,Annual,1,162684,162684,1.0,
2421,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,E 04,73,9173,Annual,1,136116,136116,1.0,
2422,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,E 03,71,9171,Annual,1,128682,128682,1.0,
2423,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,E 03,71,9171,Annual,1,113670,113670,1.0,
2424,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,D 01,91,9161,Annual,1,96060,480300,5.0,
2425,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,D 01,91,9161,Annual,1,93354,93354,1.0,
2426,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,D 01,91,9161,Annual,1,90024,90024,1.0,
2427,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,D 01,91,9161,Annual,1,87006,87006,1.0,
2428,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,1 00,0,0015,Annual,0,2590,2590,,0.0
2429,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4220,Special Functions Division,1 00,0,0011,Annual,0,5677,5677,,0.0
2430,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,E 04,73,9173,Annual,1,140286,140286,1.0,
2431,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,E 03,71,9171,Annual,1,124920,374760,3.0,
2432,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,E 03,71,9171,Annual,1,121020,484080,4.0,
2433,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,E 03,71,9171,Annual,1,117246,117246,1.0,
2434,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,E 03,71,9171,Annual,1,113670,227340,2.0,
2435,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,D 01,91,9161,Annual,1,96060,864540,9.0,
2436,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,D 01,91,9161,Annual,1,93354,1026894,11.0,
2437,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,D 01,91,9161,Annual,1,90024,1440384,16.0,
2438,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,D 01,91,9161,Annual,1,87006,957066,11.0,
2439,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,D 01,91,9161,Annual,1,84054,1512972,18.0,
2440,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4221,SWAT,1 00,0,0011,Annual,0,20155,20155,,0.0
2441,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,E 04,73,9173,Annual,1,136116,136116,1.0,
2442,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,E 03,71,9171,Annual,1,124920,124920,1.0,
2443,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,E 03,71,9171,Annual,1,121020,242040,2.0,
2444,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,E 03,71,9171,Annual,1,113670,227340,2.0,
2445,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9168,Annual,1,100980,807840,8.0,
2446,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9168,Annual,1,98052,1078572,11.0,
2447,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9168,Annual,1,94524,756192,8.0,
2448,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9168,Annual,1,91338,182676,2.0,
2449,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9168,Annual,1,68616,343080,5.0,
2450,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 01,91,9161,Annual,1,87006,87006,1.0,
2451,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9154,Annual,1,98052,196104,2.0,
2452,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9154,Annual,1,94524,189048,2.0,
2453,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,D 02,91,9154,Annual,1,68616,68616,1.0,
2454,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,1 00,0,0015,Annual,0,4932,4932,,0.0
2455,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4222,Marine / Helicopter Unit,1 00,0,0011,Annual,0,10957,10957,,0.0
2456,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,E 04,73,9173,Annual,1,140286,140286,1.0,
2457,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,E 03,71,9171,Annual,1,124920,124920,1.0,
2458,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,E 03,71,9171,Annual,1,117246,234492,2.0,
2459,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,E 03,71,9171,Annual,1,113670,113670,1.0,
2460,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 02,91,9169,Annual,1,100980,201960,2.0,
2461,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 02,91,9169,Annual,1,98052,196104,2.0,
2462,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 02,91,9169,Annual,1,94524,283572,3.0,
2463,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 02,91,9169,Annual,1,91338,548028,6.0,
2464,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 02,91,9169,Annual,1,88296,441480,5.0,
2465,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 02,91,9169,Annual,1,68616,411696,6.0,
2466,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,D 01,91,9161,Annual,1,90024,90024,1.0,
2467,Local,57,0100,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,4223,Mounted Unit,1 00,0,0015,Annual,0,3292,3292,,0.0
